################################################################
##Data NPD1                                                    #
##2017-11-22                                          ################################################################

param KK:=5000;
param II:=70;
param TT:= 20;
param a:=3;

param F:=0.9;        # fixed costs
param U:=3;
param p:=0.7;
param R:=1;          # return level


param Max3:
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20:=
1	0.0	0.0	2.5	6.1	5.9	8.3	6.8	7.3	5.2	5.6	8.0	8.8	7.6	7.9	7.3	4.4	7.8	5.9	9.6	7.9
2	0.0	0.0	4.0	8.0	5.6	6.1	6.6	4.8	8.0	9.1	6.9	5.1	8.5	8.0	5.3	8.8	10.6	8.7	7.4	9.1
3	0.0	0.0	4.0	6.6	6.4	8.9	5.5	8.9	3.1	5.8	8.0	5.0	7.5	5.0	7.9	7.3	10.2	6.9	7.8	7.9
4	0.0	0.0	4.0	9.8	5.6	6.4	6.6	8.4	9.4	7.2	8.5	9.0	5.6	5.8	9.4	9.4	7.0	8.5	6.5	6.5
5	0.0	0.0	3.4	9.5	7.0	5.8	9.4	7.6	8.1	5.6	9.8	6.4	9.0	7.3	9.7	7.0	9.3	9.6	8.6	7.9
6	0.0	0.0	3.7	8.9	8.1	6.2	8.6	8.2	6.3	6.3	6.0	5.6	7.3	7.1	6.8	8.4	7.1	6.1	8.8	5.7
7	0.0	0.0	4.0	6.1	4.3	8.2	6.8	10.7	8.3	8.1	5.6	6.3	7.6	8.6	11.5	7.5	6.1	9.5	7.6	9.2
8	0.0	0.0	2.8	6.7	7.1	3.2	6.2	5.6	7.0	4.0	8.3	6.3	7.6	7.9	8.4	7.3	5.8	9.3	5.4	7.6
9	0.0	0.0	5.0	7.5	7.9	6.4	8.2	6.4	5.9	7.2	10.0	8.7	7.8	6.9	7.2	3.9	7.7	6.9	8.7	7.7
10	0.0	0.0	4.7	5.0	8.1	4.6	9.0	6.7	4.8	8.5	7.3	9.2	5.6	5.4	7.2	5.7	7.1	7.4	6.6	8.8
11	0.0	0.0	5.0	8.1	7.2	7.7	5.2	7.1	5.3	6.9	5.6	9.2	6.6	8.7	8.7	8.6	7.7	8.9	8.1	8.9
12	0.0	0.0	3.4	8.7	7.7	8.8	10.2	6.7	7.2	6.4	5.7	6.9	6.3	7.0	8.0	6.0	9.3	8.4	6.0	8.5
13	0.0	0.0	5.0	5.2	7.6	5.5	9.3	7.4	8.5	5.7	10.1	3.8	5.5	6.1	6.7	9.1	8.5	5.9	7.1	5.8
14	0.0	0.0	3.0	6.6	4.8	9.3	8.6	7.4	7.7	7.8	8.0	5.0	5.6	8.8	7.0	6.9	6.0	9.5	7.4	6.6
15	0.0	0.0	3.1	9.1	5.8	7.7	8.5	6.8	9.2	7.5	4.7	6.4	6.6	9.8	6.3	6.9	8.3	7.1	9.0	5.9
16	0.0	0.0	4.7	6.5	6.7	7.2	8.6	8.6	6.5	4.9	7.8	7.4	5.1	6.1	7.2	6.3	6.9	5.0	10.0	7.2
17	0.0	0.0	4.3	4.7	4.9	4.8	8.7	6.9	6.9	7.5	9.2	6.7	7.3	7.9	7.4	6.1	7.2	6.1	7.6	7.9
18	0.0	0.0	3.4	7.1	6.2	8.6	7.6	6.7	7.1	8.3	9.0	6.3	8.6	6.9	5.7	5.7	6.1	7.0	6.8	6.5
19	0.0	0.0	3.4	7.8	6.0	11.3	4.7	7.2	7.2	4.6	8.1	6.4	8.2	5.9	6.8	7.7	6.0	6.3	5.7	8.1
20	0.0	0.0	3.1	7.4	5.5	8.2	6.9	6.0	4.7	6.6	5.4	4.3	9.0	7.8	7.8	8.1	7.4	9.9	5.3	10.3
